0	1077	959	829	624	571	947	952	910	798	671	468	415	791	797	755	643	516	313	260	636	642	600	488	361	158	105	481	487	445
1	86	74	71	54	40	88	71	86	72	69	52	38	86	70	85	70	68	51	37	84	68	83	69	66	49	35	83	66	81
4	22	13	17	28	9	19	0	13	3	7	18	0	10	0	4	0	0	8	0	0	0	0	0	0	0	0	0	0	0
5	11	13	17	7	14	14	7	6	8	11	1	9	8	2	1	3	6	0	3	3	0	0	0	1	0	0	0	0	0
6	9	5	6	0	4	7	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	19	20	12	10	0	22	18	17	17	9	6	0	18	15	14	13	5	2	0	14	11	10	9	1	0	0	11	7	6
11	12	23	20	12	16	23	27	10	19	16	8	12	19	22	6	15	12	3	8	15	18	1	11	7	0	3	10	14	0
13	22	22	15	18	7	24	10	18	19	12	14	4	20	7	15	15	8	11	0	17	4	11	12	5	8	0	13	0	8
15	27	33	21	20	18	22	24	26	31	19	18	16	19	22	23	28	16	15	13	17	19	21	26	13	12	10	14	16	18
18	7	9	5	0	3	8	0	4	6	2	0	0	5	0	1	4	0	0	0	2	0	0	1	0	0	0	0	0	0
19	5	2	0	0	1	0	8	3	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21	26	30	34	28	33	29	29	27	31	35	29	34	30	30	28	32	37	30	35	31	31	29	33	38	31	36	32	32	30
22	26	31	36	16	18	32	37	30	33	37	17	20	34	38	31	34	39	19	21	35	40	33	36	41	21	23	37	42	35
24	11	5	2	0	0	5	7	4	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
25	10	12	7	2	5	13	5	10	12	7	3	6	14	6	11	13	8	3	6	14	6	11	13	8	4	7	15	7	12
38	23	24	24	11	11	18	26	19	21	22	9	9	16	24	18	19	20	7	7	14	22	16	18	19	6	5	13	20	14
39	39	40	38	34	29	49	42	41	42	40	36	30	50	43	43	43	41	37	32	52	45	44	45	43	39	33	53	46	46
43	44	43	36	36	34	44	48	42	45	38	38	36	46	50	44	47	40	40	39	48	52	46	49	42	42	41	50	54	48
45	7	2	5	4	10	8	5	5	0	3	2	8	6	3	3	0	1	0	6	4	1	1	0	0	0	4	2	0	0
